Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 1608,17031160800,4997,6.092040739343644,22.180309317238777,7.468879668049793
Census tract,Tract 1609,17031160900,2410,5.42317173377157,18.28266228430567,13.475760065735416
Census tract,Tract 1610,17031161000,1899,9.619341563786008,19.90740740740741,11.368312757201643
Census tract,Tract 1611,17031161100,1940,11.11111111111111,26.15844544095665,6.427503736920777
Census tract,Tract 1612,17031161200,2820,5.1497443389335285,22.863403944485025,11.869978086194305
Census tract,Tract 1613,17031161300,3899,5.468542606848952,23.520042474117332,11.70692859039023
Census tract,Tract 1701,17031170100,2034,1.7866258295048496,3.4711587544665647,42.266462480857584
Census tract,Tract 1702,17031170200,3812,5.414273995077933,21.520371889526935,16.078753076292042
Census tract,Tract 1703,17031170300,5216,2.163127604683469,18.158364754911688,17.66223457035126
Census tract,Tract 1704,17031170400,4141,2.6747413575574064,17.36058541508958,14.736310875599292
Census tract,Tract 1705,17031170500,5316,4.26,23.200000000000003,16.520000000000003
Census tract,Tract 1706,17031170600,2551,5.027279812938425,21.31722525331255,22.213561964146532
Census tract,Tract 1707,17031170700,3068,4.975579975579976,21.001221001221,16.3003663003663
Census tract,Tract 1708,17031170800,3799,3.386454183266932,19.173306772908365,17.62948207171315
Census tract,Tract 1709,17031170900,1662,8.37669094693028,16.701352757544225,17.16961498439126
Census tract,Tract 1710,17031171000,7313,3.777494421421741,20.417596429709914,14.233343959196684
Census tract,Tract 1711,17031171100,4235,2.9922779922779923,22.417953667953668,12.620656370656372
Census tract,Tract 1801,17031180100,6656,6.763636363636364,24.130909090909093,12.087272727272728
Census tract,Tract 1901,17031190100,2325,5.118601747815231,21.722846441947567,14.31543903454016
Census tract,Tract 1902,17031190200,5652,9.090909090909092,23.778897966278464,10.811750391100295
Census tract,Tract 1903,17031190300,5738,5.009805669459796,18.523801034052415,16.580495632019968
Census tract,Tract 1904.01,17031190401,4325,5.1916545366327025,19.45657447840854,7.836001940805434
Census tract,Tract 1904.02,17031190402,5294,1.827454313642159,21.164470888227793,13.110922226944329
Census tract,Tract 1906.01,17031190601,4382,2.166420482520926,19.27621861152142,10.142786804529788
Census tract,Tract 1906.02,17031190602,5378,8.010241404535478,24.890270665691293,16.843452816386247
Census tract,Tract 1907.01,17031190701,2972,7.816610296880872,26.64411875234874,11.461856444945507
Census tract,Tract 1907.02,17031190702,4952,8.283772302463891,26.805437553101104,15.781648258283774
Census tract,Tract 1908,17031190800,6831,4.758141005374644,21.134998419222256,15.53904521024344
Census tract,Tract 1909,17031190900,1927,8.953488372093023,25.406976744186043,19.593023255813954
Census tract,Tract 1910,17031191000,2422,4.594820384294068,23.767752715121137,16.499582289055972
Census tract,Tract 1911,17031191100,7533,6.243050039714059,33.80460683081811,10.579825258141382
Census tract,Tract 1912,17031191200,3810,9.928324926997613,31.802495354393415,11.945845500398194
Census tract,Tract 1913.01,17031191301,5214,7.121424284856971,27.745549109821965,18.54370874174835
Census tract,Tract 1913.02,17031191302,4940,6.950067476383266,25.68600989653621,12.550607287449392
Census tract,Tract 2001,17031200100,4118,6.022144207399406,25.51984877126654,14.501755333513366
Census tract,Tract 2002,17031200200,5162,6.452309020284851,20.26327147173069,14.587829089339662
Census tract,Tract 2003,17031200300,2015,8.5667215815486,21.526633717737507,7.303679297089512
Census tract,Tract 2004.01,17031200401,3743,6.944897293772416,29.964134333224653,12.781219432670362
Census tract,Tract 2004.02,17031200402,4192,3.861871679607683,25.991009399264403,8.071107478545157
Census tract,Tract 2101,17031210100,4066,4.2708824917413875,13.78008494572912,6.394525719679094
Census tract,Tract 2104,17031210400,2912,5.103148751357221,26.203402099167572,8.070937386898299
Census tract,Tract 2105.01,17031210501,3555,10.305614783226725,12.79317697228145,7.1783937455579245
Census tract,Tract 2105.02,17031210502,4099,5.8118081180811805,18.657749077490777,6.25
Census tract,Tract 2106.01,17031210601,2717,1.4581734458940905,13.43054489639294,12.509593246354566
Census tract,Tract 2106.02,17031210602,4148,6.071344200330735,21.119773210489015,6.472950626033545
Census tract,Tract 2107,17031210700,3907,5.967302452316076,19.89100817438692,7.79291553133515
Census tract,Tract 2108,17031210800,986,5.550329256820319,16.745061147695203,5.456255879586077
Census tract,Tract 2109,17031210900,3170,3.063308373042886,13.138189244383936,9.76855003403676
Census tract,Tract 2203,17031220300,2207,8.192090395480225,12.476459510357817,9.274952919020716
Census tract,Tract 2204,17031220400,2579,6.331045003813883,16.056445461479786,15.636918382913803
Census tract,Tract 2205,17031220500,2751,5.279187817258883,13.468697123519458,11.235194585448392
Census tract,Tract 2206.01,17031220601,1635,5.10688836104513,16.389548693586697,7.660332541567697
Census tract,Tract 2206.02,17031220602,4877,6.048935206162211,12.233801540552786,11.191662890801997
Census tract,Tract 2207.01,17031220701,2920,1.7061281337047354,13.126740947075207,6.65041782729805
Census tract,Tract 2207.02,17031220702,3653,5.96078431372549,18.58823529411765,6.692810457516341
Census tract,Tract 2209.01,17031220901,2903,4.478656403079076,17.73967809657103,10.811756473058082
Census tract,Tract 2209.02,17031220902,2959,9.16296766011414,25.237793278376664,7.83132530120482
Census tract,Tract 2210,17031221000,2432,2.5186934277843367,10.783156237701691,2.95159386068477
Census tract,Tract 2211,17031221100,4440,2.674897119341564,8.664837677183357,13.511659807956104
Census tract,Tract 2212,17031221200,2954,6.376262626262625,21.306818181818183,5.334595959595959
Census tract,Tract 2213,17031221300,3062,5.7348901098901095,13.53021978021978,10.4739010989011
Census tract,Tract 2214,17031221400,3385,5.590682196339435,11.480865224625624,5.757071547420965
